id_unn;id_fil;id_mes;target_sales_store_1;target_sales_store_2
1;1;202201;0,0;0,0
1;75;202201;1684253,7;1866004,1
1;24;202201;0,0;0,0
1;57;202201;2487262,5;2691026,8
1;31;202201;2758442,8;2955263,7
1;48;202201;0,0;0,0
1;52;202201;0,0;0,0
1;56;202201;0,0;0,0
1;36;202201;0,0;0,0
1;38;202201;2539005,0;2697782,0
1;32;202201;0,0;0,0
1;19;202201;8764737,9;9090922,3
1;12;202201;5623004,3;5862600,7
1;54;202201;2536845,2;2740947,1
1;3;202201;21842737,0;22938732,9
1;30;202201;0,0;0,0
1;27;202201;2276399,4;2451767,9
1;34;202201;0,0;0,0
1;29;202201;0,0;0,0
1;8;202201;3326809,9;3550814,7
1;37;202201;0,0;0,0
1;23;202201;0,0;0,0
1;55;202201;0,0;0,0
1;66;202201;0,0;0,0
1;71;202201;3930434,3;4173871,3
1;74;202201;2972641,5;3174131,7
1;9;202201;0,0;0,0
1;64;202201;0,0;0,0
1;72;202201;0,0;0,0
1;26;202201;0,0;0,0
1;28;202201;4369599,7;4582932,8
1;22;202201;0,0;0,0
1;40;202201;4804438,5;5042690,5
1;43;202201;3309682,1;3512128,2
1;73;202201;2211005,7;2399328,3
1;51;202201;0,0;0,0
1;39;202201;0,0;0,0
1;70;202201;1707436,6;1839416,7
1;25;202201;7065591,0;7388588,7
1;1;202202;4272612,0;4534682,2
1;75;202202;1702849,3;1938088,5
1;24;202202;8359595,8;8781867,6
1;57;202202;2348472,9;2608788,6
1;31;202202;2569464,0;2832775,5
1;48;202202;1897808,3;2065463,2
1;52;202202;2015720,7;2218625,1
1;56;202202;3111452,9;3304867,3
1;36;202202;3250755,6;3575865,4
1;38;202202;2389653,1;2572046,2
1;32;202202;3372810,6;3678965,4
1;19;202202;8020890,4;8384531,3
1;12;202202;5265586,1;5566355,0
1;54;202202;2537301,1;2793597,3
1;3;202202;20286933,1;21601897,4
1;30;202202;10635768,1;11145567,5
1;27;202202;1975035,5;2194284,7
1;34;202202;2681655,3;2982551,3
1;29;202202;1722199,5;1944398,9
1;8;202202;3146478,9;3384431,2
1;37;202202;2558446,0;2740451,5
1;23;202202;3204707,6;3587093,4
1;55;202202;3046752,7;3391369,6
1;66;202202;2638870,6;2834313,0
1;71;202202;3603799,9;3901359,9
1;74;202202;2759563,7;2965179,3
1;9;202202;3034617,1;3257255,6
1;64;202202;5089578,4;5371043,2
1;72;202202;1803623,6;1980604,2
1;26;202202;5113689,1;5436676,8
1;28;202202;4074317,0;4317068,0
1;22;202202;2308914,3;2486945,1
1;40;202202;4329758,0;4587342,1
1;43;202202;3003681,1;3235261,3
1;73;202202;2007792,3;2231090,5
1;51;202202;3087456,1;3368823,5
1;39;202202;2026502,1;2260754,0
1;70;202202;1685077,2;1817983,0
